ДАТА,ТИП,СО СЧЁТА,НА СЧЁТ / НА КАТЕГОРИЮ,СУММА,ВАЛЮТА,СУММА 2,ВАЛЮТА 2,МЕТКИ,ЗАМЕТКИ
17.12.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
17.12.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
17.12.2022,Расход,Карта,Хавчик,830,KZT,830,KZT,,
16.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
16.12.2022,Расход,Карта,Хавчик,1440,KZT,1440,KZT,,
16.12.2022,Расход,Карта,Хавчик,8100,KZT,8100,KZT,,
15.12.2022,Доход,Карта,Доход,2000,KZT,2000,KZT,,
15.12.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
15.12.2022,Расход,Карта,Хавчик,103,KZT,103,KZT,,
15.12.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
15.12.2022,Расход,Карта,Хавчик,120,KZT,120,KZT,,
15.12.2022,Расход,Карта,Хавчик,760,KZT,760,KZT,,
14.12.2022,Расход,Карта,Покупки,1180,KZT,1180,KZT,,
14.12.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
14.12.2022,Расход,Карта,Хавчик,470,KZT,470,KZT,,
14.12.2022,Расход,Карта,Хавчик,160,KZT,160,KZT,,
13.12.2022,Расход,Карта,Транспорт,460,KZT,460,KZT,,
13.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
13.12.2022,Расход,Карта,Покупки,2000,KZT,2000,KZT,,
13.12.2022,Расход,Карта,Хавчик,95,KZT,95,KZT,,
13.12.2022,Расход,Карта,Хавчик,300,KZT,300,KZT,,
13.12.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
13.12.2022,Расход,Карта,Хавчик,444,KZT,444,KZT,,
13.12.2022,Расход,Карта,Хавчик,95,KZT,95,KZT,,
13.12.2022,Расход,Карта,Хавчик,570,KZT,570,KZT,,
12.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
12.12.2022,Расход,Карта,Покупки,20792,KZT,20792,KZT,,
12.12.2022,Расход,Карта,Хавчик,260,KZT,260,KZT,,
12.12.2022,Расход,Карта,Покупки,700,KZT,700,KZT,,
11.12.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
11.12.2022,Расход,Карта,Транспорт,447,KZT,447,KZT,,
11.12.2022,Расход,Карта,Хавчик,490,KZT,490,KZT,,
11.12.2022,Расход,Карта,Хавчик,800,KZT,800,KZT,,
10.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
10.12.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
10.12.2022,Расход,Карта,Хавчик,359,KZT,359,KZT,,
10.12.2022,Расход,Карта,Транспорт,800,KZT,800,KZT,,
10.12.2022,Расход,Карта,Образование,2020,KZT,2020,KZT,,
10.12.2022,Расход,Карта,Хавчик,723.36,KZT,723.36,KZT,,
10.12.2022,Расход,Карта,Хавчик,1340,KZT,1340,KZT,,
09.12.2022,Расход,Карта,Хавчик,1440,KZT,1440,KZT,,
08.12.2022,Расход,Карта,Хавчик,120,KZT,120,KZT,,
08.12.2022,Расход,Карта,Хавчик,310,KZT,310,KZT,,
08.12.2022,Расход,Карта,Хавчик,200,KZT,200,KZT,,
07.12.2022,Расход,Карта,Хавчик,465,KZT,465,KZT,,
07.12.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
07.12.2022,Расход,Карта,Хавчик,192,KZT,192,KZT,,
07.12.2022,Расход,Карта,Хавчик,465,KZT,465,KZT,,
07.12.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
06.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
06.12.2022,Расход,Карта,Покупки,6500,KZT,6500,KZT,,
06.12.2022,Расход,Карта,Покупки,500,KZT,500,KZT,,
06.12.2022,Расход,Карта,Хавчик,630,KZT,630,KZT,,
06.12.2022,Расход,Карта,Хавчик,252,KZT,252,KZT,,
06.12.2022,Расход,Карта,Хавчик,250,KZT,250,KZT,,
06.12.2022,Расход,Карта,Хавчик,190,KZT,190,KZT,,
06.12.2022,Расход,Карта,Хавчик,100,KZT,100,KZT,,
06.12.2022,Расход,Карта,Тариф,3091.09,KZT,3091.09,KZT,,
05.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
05.12.2022,Расход,Карта,Покупки,4000,KZT,4000,KZT,,
05.12.2022,Расход,Карта,Покупки,2014,KZT,2014,KZT,,
05.12.2022,Расход,Карта,Хавчик,390,KZT,390,KZT,,
05.12.2022,Расход,Карта,Тариф,10.1,KZT,10.1,KZT,,
05.12.2022,Расход,Карта,Хавчик,760,KZT,760,KZT,,
05.12.2022,Расход,Карта,Хавчик,140,KZT,140,KZT,,
04.12.2022,Расход,Карта,Хавчик,160,KZT,160,KZT,,
04.12.2022,Расход,Карта,Хавчик,850,KZT,850,KZT,,
04.12.2022,Расход,Карта,Хавчик,15,KZT,15,KZT,,
04.12.2022,Расход,Карта,Хавчик,330,KZT,330,KZT,,
04.12.2022,Расход,Карта,Хавчик,530,KZT,530,KZT,,
04.12.2022,Расход,Карта,Хавчик,420,KZT,420,KZT,,
03.12.2022,Доход,Карта,Доход,7000,KZT,7000,KZT,,
